// Tested on Intel Core i7-6900K

		16	1.9704, 2.3141, 2.1929, 3.0751, 1.9873, 2.0387, 1.8577, 1.8724, 1.9128, 1.9851, 1.8737, 2.1471, 2.1516, 2.1774, 1.9803, 1.9782, 2.1465, 2.1802, 2.4806, 2.1424, 2.083, 2.4745, 1.97, 1.8758, 1.8861, 1.8798, 1.8973, 1.8872, 1.9977, 1.9357, 1.9037, 1.8892, 1.9304, 1.9568, 1.8777, 1.8711, 1.8689, 1.8916, 2.1165, 1.9821, 1.9651, 2.4312, 2.4416, 2.1633, 2.1865, 1.9647, 2.9498, 2.0006, 2.1392, 2.1876, 1.9172, 1.8979, 1.8962, 2.1882, 2.155, 1.9298, 1.8814, 1.9836, 2.4449, 3.2409, 1.9689, 1.9575, 1.9522, 1.8775, 2.124, 2.1884, 1.9493, 1.9615, 1.9682, 1.8806, 1.9422, 1.9483, 1.8939, 1.8797, 1.9067, 1.9093, 1.9646, 1.8908, 1.9687, 1.956, 1.9641, 2.1871, 1.9598, 1.8642, 1.8523, 1.8655, 2.1328, 2.1597, 1.9679, 1.8686, 1.8801, 1.8629, 2.0291, 1.9629, 1.8652, 1.9406, 2.1718, 2.5282, 2.466, 2.3254

	avx2	1	10.91, 10.8662, 11.0665, 10.5017, 10.1708, 10.2626, 10.2443, 10.0471, 10.2942, 10.1767, 9.9448, 10.3607, 10.7832, 9.9688, 10.2136, 10.0872, 9.9537, 10.0608, 9.9776, 10.1237, 10.1435, 10.0815, 11.1504, 10.0741, 10.2195, 10.1503, 10.0725, 10.3451, 10.2253, 9.9836, 10.2382, 10.3858, 10.7446, 10.2121, 10.1822, 10.0683, 10.1958, 10.2046, 10.2273, 10.1094, 10.2041, 10.5481, 10.3493, 10.6913, 10.2581, 10.108, 10.1134, 10.1644, 10.0141, 10.2649, 10.2045, 10.7088, 10.4882, 10.2963, 10.4161, 10.1053, 10.3838, 10.0702, 10.1818, 10.2416, 10.2167, 11.1976, 11.1517, 11.2002, 10.6549, 10.2577, 10.3441, 9.9088, 10.3361, 10.266, 10.471, 10.4277, 10.2288, 10.2297, 10.2941, 10.1049, 9.9844, 10.0569, 10.2928, 10.0002, 10.7385, 10.337, 10.1759, 10.3866, 10.2544, 11.1565, 9.9888, 10.187, 10.2582, 10.0365, 10.931, 10.5377, 9.9158, 10.2796, 10.1919, 10.0433, 10.3829, 10.0368, 10.3934, 10.2583
		2	5.7594, 5.7783, 5.787, 5.7602, 5.7486, 5.6171, 5.6271, 5.5715, 5.5804, 5.563, 5.5494, 5.5642, 5.5699, 5.6863, 5.784, 5.7748, 5.7185, 5.7575, 5.6894, 5.76, 5.7415, 5.7087, 5.7357, 5.7296, 5.7657, 5.7436, 5.6334, 5.5332, 5.5481, 5.5955, 5.7644, 5.7065, 5.7251, 5.7093, 5.7556, 5.7763, 5.7427, 5.7726, 5.715, 5.75, 5.7447, 5.7522, 5.7447, 5.7373, 5.6127, 5.5445, 5.5439, 5.681, 5.7105, 5.7459, 5.7452, 5.7444, 5.7415, 5.723, 5.753, 5.7162, 5.7369, 5.7619, 5.7175, 5.7694, 5.7011, 5.7528, 5.5386, 5.5378, 5.5422, 5.7505, 5.7624, 5.7554, 5.7098, 5.7561, 5.6994, 5.7457, 5.7629, 5.7216, 5.7494, 5.7246, 5.7429, 5.786, 5.738, 5.7162, 5.5377, 5.5475, 5.5781, 5.5568, 5.7636, 5.6813, 5.7781, 5.6946, 5.7609, 5.7384, 5.7286, 5.7468, 5.7291, 5.755, 5.7401, 5.691, 5.7457, 5.6359, 5.5418, 5.5462
		4	3.8084, 3.7887, 3.7799, 3.7715, 3.7969, 3.7873, 3.8284, 3.764, 3.7873, 3.7461, 3.7626, 3.7715, 3.7928, 3.7184, 3.7651, 3.7417, 3.762, 3.7387, 3.8056, 3.7483, 3.7381, 3.769, 3.7657, 3.7483, 3.7609, 3.748, 3.762, 3.7479, 3.747, 3.7573, 3.7582, 3.7549, 3.7746, 3.7938, 3.7936, 3.7903, 3.7637, 3.7676, 3.7598, 3.7504, 3.7506, 3.9647, 3.699, 3.7445, 3.7589, 3.7383, 3.7748, 3.7564, 3.7549, 3.8132, 3.7759, 3.7934, 3.8313, 3.7035, 3.7527, 3.7746, 3.8053, 3.72, 3.6833, 3.7234, 3.82, 3.8039, 3.7448, 3.7937, 3.7429, 3.74, 3.7463, 3.7879, 3.7777, 3.7601, 3.7763, 3.7446, 3.7945, 3.7652, 3.7494, 3.7444, 3.7325, 3.7245, 3.7321, 3.6908, 3.7493, 3.8116, 3.756, 3.7792, 3.7319, 3.7488, 3.7386, 3.753, 3.7489, 3.74, 3.7479, 3.7495, 3.8062, 3.7417, 3.7946, 3.8153, 3.7988, 3.7685, 3.7704, 3.7736
		8	2.2194, 1.912, 1.9493, 1.9179, 1.9087, 1.9141, 1.9222, 1.9417, 1.9917, 1.9185, 1.9348, 2.0031, 1.9408, 1.9279, 1.9218, 1.945, 1.925, 1.9168, 2.7716, 1.9049, 1.9077, 1.9026, 2.7242, 1.9103, 1.9065, 2.6897, 2.7203, 2.7387, 2.7451, 2.757, 2.7629, 2.7067, 2.7369, 2.7313, 2.7088, 2.733, 2.7323, 1.8886, 1.9036, 1.8839, 1.8974, 1.9034, 1.8979, 1.9038, 1.8979, 1.9011, 2.0903, 1.8987, 1.9022, 1.8981, 1.892, 1.8981, 2.7441, 1.8991, 1.8967, 1.8982, 1.901, 1.8947, 1.8973, 1.9014, 1.8918, 2.7372, 2.7098, 1.8906, 1.8919, 1.8953, 1.8956, 1.8931, 2.0977, 1.9375, 1.89, 1.893, 1.904, 1.8982, 1.8765, 1.8904, 1.8938, 1.897, 1.8937, 1.8981, 1.895, 1.8931, 1.8891, 1.8981, 1.8947, 2.0745, 1.8983, 1.8931, 1.8886, 1.8977, 1.8754, 1.914, 1.887, 1.8847, 1.8889, 1.8837, 1.8992, 2.6986, 2.6982, 2.6989
		16	1.9918, 1.974, 1.9487, 1.8763, 1.8503, 1.8774, 1.9421, 1.9329, 1.9189, 1.8872, 1.8476, 1.9475, 1.9436, 1.98, 1.8488, 1.939, 1.9584, 2.764, 1.8474, 1.8691, 1.9268, 1.8353, 1.8519, 1.927, 2.1649, 1.8401, 1.9446, 1.9207, 1.8976, 1.8444, 1.9511, 1.9312, 1.8458, 1.8346, 1.9275, 1.8323, 1.8404, 1.8325, 1.8316, 1.9273, 1.8475, 1.8445, 1.849, 1.9205, 1.8385, 1.9312, 1.8366, 1.9685, 1.8245, 1.9121, 1.9253, 1.8461, 1.9069, 1.9468, 2.7452, 2.7439, 2.7386, 2.7537, 2.1416, 1.9266, 1.8296, 1.9037, 1.9418, 1.8314, 1.9261, 1.8503, 1.8271, 1.8549, 1.9197, 1.8291, 1.846, 1.928, 1.832, 1.9074, 2.3859, 1.9188, 1.9002, 1.8435, 1.8503, 1.9278, 2.111, 1.8314, 1.9338, 1.9334, 1.8276, 1.8399, 1.8423, 1.8572, 1.8338, 1.8524, 1.9192, 2.7234, 1.8271, 1.8365, 1.9122, 1.8398, 2.0776, 1.9629, 1.9028, 1.8282

	ref	1	261.701, 264.463, 317.679, 260.124, 340.584, 274.404, 260.688, 265.503, 278.912, 260.038, 272.43, 259.447, 259.495, 264.532, 259.434, 259.737, 259.322, 261.661, 259.578, 260.179, 261.296, 272.227, 274.164, 260.291, 271.699, 267.909, 260.359, 259.717, 261.978, 261.813, 260.691, 271.05, 260.885, 260.647, 260.104, 266.371, 266.984, 262.402, 358.547, 365.056, 385.471, 379.663, 387.485, 408.004, 487.536, 368.34, 279.873, 267.987, 356.094, 262.3, 268.847, 262.989, 261.142, 266.538, 260.224, 260.295, 262.051, 260.089, 284.452, 263.009, 273.119, 261.28, 267.072, 272.408, 380.502, 311.718, 343.547, 400.444, 429.248, 372.977, 305.21, 266.433, 278.206, 265.476, 467.079, 264.057, 268.058, 381.302, 429.862, 369.164, 307.887, 289.529, 264.532, 271.043, 264.443, 266.156, 263.123, 355.712, 280.835, 292.342, 310.351, 279.055, 303.467, 316.267, 326.629, 352.99, 336.48, 286.987, 336.063, 329.126
		2	136.71, 143.089, 141.684, 145.775, 148.614, 142.302, 143.027, 130.113, 131.12, 131.374, 156.274, 130.76, 131.248, 164.996, 144.778, 138.358, 139.005, 134.943, 129.814, 129.835, 129.765, 130.219, 129.804, 130.878, 136.024, 136.012, 135.947, 135.867, 136.008, 136.144, 136.12, 132.618, 129.73, 130.298, 129.767, 129.706, 129.739, 132.936, 135.454, 146.788, 138.224, 136.949, 136.355, 136.065, 136.591, 130.803, 132.53, 129.864, 129.828, 146.494, 154.162, 135.071, 130.69, 136.154, 129.957, 130.154, 135.999, 136.108, 136.462, 136.295, 136.026, 135.941, 132.146, 130.578, 130.548, 130.497, 130.485, 130.521, 130.517, 130.638, 130.835, 130.658, 130.696, 130.694, 130.763, 130.685, 130.56, 130.728, 131.862, 130.75, 130.515, 130.515, 130.569, 131.186, 130.579, 130.646, 130.795, 131.19, 130.792, 136.834, 132.05, 130.756, 130.798, 130.849, 130.779, 131.67, 130.75, 130.688, 130.688, 130.669
		4	65.4027, 65.3229, 65.2268, 65.234, 65.3126, 65.2498, 65.2205, 65.278, 65.2292, 65.2514, 65.2321, 65.347, 65.2263, 65.2478, 65.2231, 65.2292, 65.588, 65.4189, 65.2259, 65.2882, 65.2543, 65.2227, 65.302, 65.2982, 65.253, 65.245, 65.2842, 65.2759, 65.2451, 65.2224, 65.2287, 65.4199, 65.3096, 65.228, 65.3038, 65.3081, 65.253, 65.2455, 65.3847, 65.6129, 65.4221, 65.4603, 65.5358, 65.4505, 65.4099, 65.4584, 65.5412, 65.6227, 65.4584, 65.5143, 65.5372, 65.4548, 65.5004, 65.5405, 65.517, 65.4428, 65.4408, 65.5572, 65.5504, 65.4892, 67.8341, 65.4237, 65.6189, 65.4727, 65.526, 65.5094, 65.5473, 65.4243, 65.5356, 65.5147, 65.487, 67.8428, 67.8264, 67.8028, 67.7883, 67.8021, 67.8167, 82.6072, 65.5251, 65.4826, 65.4988, 65.4349, 65.4884, 65.5054, 65.5534, 65.4632, 65.4811, 65.5312, 65.4785, 65.4416, 65.461, 65.4937, 65.4277, 65.6258, 65.4772, 65.4584, 65.4654, 65.4616, 65.5234, 65.4399
		8	37.5345, 33.0376, 33.1983, 33.2084, 53.7907, 58.2188, 34.0388, 34.0654, 33.8982, 34.5462, 36.1992, 43.8878, 34.874, 42.2904, 33.3083, 33.5584, 33.0688, 33.0931, 33.0649, 37.0004, 55.7384, 33.7858, 35.4189, 43.3401, 33.4994, 34.1831, 36.6094, 33.9914, 34.3172, 61.241, 33.6058, 33.1625, 41.055, 61.502, 33.3079, 36.0711, 33.186, 33.2558, 33.1538, 33.4107, 33.4372, 33.3144, 33.3274, 33.3486, 33.323, 36.2672, 38.3729, 34.1733, 44.6824, 34.1899, 34.2257, 33.1032, 38.54, 34.5262, 34.5536, 34.5664, 35.215, 34.5726, 34.7229, 34.5731, 43.4757, 57.958, 36.0001, 33.1989, 33.1452, 33.8728, 33.0625, 33.0088, 33.1036, 33.0448, 35.4953, 33.8816, 33.0984, 36.6205, 34.9644, 33.179, 33.1135, 33.1155, 33.0729, 38.0198, 49.1258, 33.1679, 33.2187, 50.171, 33.9144, 34.0551, 33.3761, 33.9811, 42.7351, 34.4015, 44.609, 34.4891, 34.3717, 34.6418, 34.2876, 34.1283, 47.4344, 34.2613, 34.501, 36.5158
		16	33.9048, 33.6952, 33.8764, 33.8825, 33.8943, 33.8677, 33.8166, 34.0263, 33.9656, 34.036, 33.9068, 36.6496, 34.0182, 34.5877, 37.8657, 43.4488, 33.6757, 33.6549, 38.0606, 33.667, 33.7533, 33.9, 33.6246, 33.6984, 34.0538, 34.2359, 33.8399, 33.9371, 33.6536, 33.8157, 33.5996, 33.5374, 33.634, 33.6465, 33.5292, 33.7871, 34.0276, 33.9843, 34.0791, 35.8496, 33.574, 33.8563, 33.5548, 33.4022, 38.883, 37.8653, 37.078, 33.7197, 34.0557, 33.8273, 34.154, 33.7156, 33.4874, 34.0965, 33.7033, 33.6507, 33.5567, 33.7603, 33.8673, 33.7319, 33.9419, 33.8541, 34.0633, 33.4881, 33.6833, 33.7866, 33.6808, 36.6699, 33.5899, 34.2974, 33.9564, 33.6313, 33.7748, 35.0055, 38.7448, 41.4082, 34.0032, 33.9039, 33.9674, 34.3135, 33.9694, 33.9368, 34.555, 33.7921, 33.9852, 33.9595, 33.8762, 33.8805, 33.8703, 33.8844, 34.67, 34.1696, 34.0357, 33.7798, 33.9677, 34.393, 33.9738, 34.1459, 33.9658, 33.8871


hiimg	none	1	211325, 221946, 224253, 210811, 210748
		2	116284, 116250, 116352, 116487, 115943
		4	57939.9, 57950.7, 57939.3, 57954.9, 57953.1
		8	29642.2, 29566, 29618.2, 29695.9, 29680
		16	28813.5, 29014.1, 28900, 28856.1, 28787.9

	sse2	1	14247.1, 14259.5, 14259.4, 14247, 14247, 14246.3, 14247.1, 14250.9, 14242.7, 14253.7, 14243, 14253, 14247.3, 14254.5, 14249.9, 14274.5, 14250.1, 14248.4, 14250.8, 14240.8
		2	7478.2, 7522.97, 7523.65, 7492.05, 7518.73, 7445.41, 7526.55, 7491.85, 7523.29, 7442.66, 7518.41, 7486.24, 7504.31, 7434.11, 7518.86, 7487.5, 7512.43, 7435.84, 7519.47, 7487.85
		4	3717.46, 3717.82, 3718.6, 3718.98, 3720.11, 3720.41, 3719.98, 3720.62, 3719.65, 3718.11, 3719.87, 3718.55, 3716.65, 3719.76, 3718.96, 3721.84, 3719.82, 3716.86, 3718.45, 3719.92
		8	2234.85, 2129.87, 2135.1, 2485.73, 2292.16, 2173.52, 2124.02, 2843.11, 2422.01, 2083.96, 2107.72, 2096.01, 2731.3, 2525.1, 2094.94, 2124.84, 2116.22, 2121.64, 2623.49, 2106.33
		16	1823.45, 1844.05, 1870.87, 1895.04, 1905.2, 1824.85, 1823.41, 1853.55, 1876.41, 1873.35, 1905.1, 1845.87, 1872.05, 1846.24, 1832.64, 1812.97, 1869.21, 1875.02, 1932.56, 1830.93

	avx2	1	8575.68, 8584.32, 8584.19, 8584.22, 8580.21, 8582.02, 8585.38, 8574.02, 8583.11, 8573.77, 8574, 8573.08, 8571.66, 8577.47, 8593.61, 8587.75, 8582.02, 8577.85, 8580.88, 8584.02
		2	4637.99, 4644.92, 4646.17, 4643.24, 4648.86, 4647.56, 4649.44, 4646.41, 4647.66, 4647.4, 4649.23, 4646.66, 4646.75, 4647.53, 4643.81, 4645.29, 4645.9, 4647.45, 4644.67, 4645.8
		4	2242.57, 2242.52, 2241.75, 2242.31, 2241.96, 2240.98, 2242.75, 2241.54, 2241.97, 2241.81, 2241.63, 2240.79, 2241.9, 2241.21, 2241.68, 2241.45, 2241.24, 2241.72, 2240.86, 2241.83
		8	1349.61, 1348.53, 1345.08, 1454.31, 1375.3, 1568.42, 1546.48, 1378.55, 1359.23, 1486.77, 1372.52, 1575.83, 1363.54, 1373.99, 1374.27, 1374.39, 1389.05, 1375.37, 1753.67, 1754.27
		16	1057.96, 1083.12, 1059.75, 1071.59, 1075.11, 1080.19, 1107.72, 1212.29, 1093.77, 1088.95, 1096.89, 1202.01, 1093.2, 1080.06, 1112.88, 1116.66, 1186.52, 1076.43, 1072.3, 1130.93

	ref	1	344203, 344912, 336385, 327543, 327881
		2	172646, 170717, 170544, 170573, 175040
		4	85674.9, 85667.6, 85753.2, 85684.9, 85697
		8	44314.2, 44023.4, 44079.6, 44078.5, 43813.6
		16	41492, 41749.7, 41794.9, 41739.8, 41743.4
