// Tested on Google Compute Engine Skylake Xeon

rand	none	4	60.411, 60.1967, 60.2384, 60.3172, 60.4219, 60.2201, 60.1464, 60.1639, 60.1717, 60.1865, 60.1499, 60.1475, 60.1527, 60.2447, 60.2566, 60.1861, 60.3357, 60.2499, 60.3033, 60.186, 60.2113, 60.2255, 60.2317, 60.1904, 60.2208, 60.2471, 60.1651, 60.1804, 60.2, 60.2262, 60.1831, 60.2247, 60.4246, 60.3548, 60.2229, 60.2327, 60.2922, 60.327, 60.4262, 60.2476, 60.2288, 60.2059, 60.3445, 60.2871, 60.1779, 60.291, 60.5118, 60.446, 60.2347, 60.3842, 60.6454, 60.4844, 60.357, 60.1771, 60.2369, 60.1855, 60.1776, 60.1728, 60.1777, 60.1641, 60.2221, 60.1624, 60.199, 60.4597, 60.2836, 60.1717, 60.3298, 60.2697, 60.239, 60.239, 60.2371, 60.2099, 60.1663, 60.191, 60.2483, 60.1902, 60.1596, 60.1459, 60.1759, 60.2455, 60.405, 60.2505, 60.2489, 60.3298, 60.2002, 60.1716, 60.1563, 60.1457, 60.1652, 60.1673, 60.1799, 60.2218, 60.1672, 60.1431, 60.3451, 60.5381, 60.2844, 60.1423, 60.1001, 60.4173
		6	42.1795, 42.0142, 42.0031, 42.0382, 42.0292, 41.9637, 41.9981, 42.0455, 41.9599, 42.0217, 42.0061, 41.9734, 41.9974, 41.99, 42.1862, 42.1128, 42.2734, 42.1613, 41.9597, 42.1536, 42.1482, 42.0969, 42.0734, 42.0377, 41.9651, 42.3761, 42.0819, 41.9734, 41.9823, 42.0829, 41.9626, 42.0031, 41.9737, 42.0442, 42.0577, 42.0568, 42.0918, 42.0147, 42.0063, 42.1426, 42.5088, 42.0618, 42.0013, 42.2092, 42.2347, 42.0872, 41.9694, 41.9951, 42.0723, 42.007, 41.9718, 41.988, 41.9393, 41.9891, 42.1629, 42.0673, 41.9723, 42.0357, 42.0095, 41.9741, 42.0757, 41.9949, 41.9901, 42.0883, 42.4064, 42.1293, 42.1698, 42.1223, 42.139, 42.0911, 41.9755, 41.9947, 42.0304, 41.9729, 42.0432, 42.0116, 41.9643, 41.9858, 41.9979, 41.9459, 41.9895, 41.9541, 42.0133, 42.1108, 42.1038, 42.014, 42.0485, 42.1816, 42.2584, 42.0925, 42.1097, 42.2004, 42.2021, 42.0772, 42.0545, 41.9955, 42.0411, 42.0047, 41.9846, 42.0201
		8	30.2038, 30.1329, 30.1582, 30.148, 30.1443, 30.2902, 30.2738, 30.3832, 30.2557, 30.1154, 30.1734, 30.17, 30.2258, 30.1216, 30.1362, 30.3997, 30.6149, 30.3362, 30.224, 30.2471, 30.2521, 30.3702, 30.2925, 30.3036, 30.2036, 30.2204, 30.1751, 30.1446, 30.1682, 30.2164, 30.1576, 30.325, 30.1801, 30.1968, 30.198, 30.1812, 30.1635, 30.153, 30.2003, 30.2072, 30.1796, 30.1446, 30.2395, 30.2267, 30.3326, 30.2365, 30.2081, 30.3578, 30.2006, 30.3227, 30.5223, 30.3014, 30.2972, 30.2766, 30.3393, 30.3687, 30.2152, 30.3656, 30.1977, 30.1959, 30.1957, 30.1952, 30.1333, 30.1638, 30.2294, 30.1542, 30.1447, 30.1649, 30.158, 30.1932, 30.267, 30.275, 30.2459, 30.1741, 30.1676, 30.1453, 30.1731, 30.1396, 30.2065, 30.2757, 30.2036, 30.1561, 30.3191, 30.324, 30.2252, 30.1837, 30.2056, 30.1256, 30.4518, 30.2879, 30.1777, 30.2031, 30.1501, 30.1587, 30.1537, 30.1412, 30.1593, 30.1517, 30.1516, 30.1662
		12	22.3146, 21.2343, 21.1499, 21.0949, 21.0659, 21.1814, 21.2119, 21.0869, 21.1648, 21.054, 21.0482, 21.0286, 21.0109, 21.0097, 21.0198, 21.0101, 21.0376, 21.0283, 21.0223, 21.0085, 20.9967, 21.0113, 21.1173, 21.0743, 21.0634, 21, 21.0836, 21.0379, 21.0016, 21.019, 21.0544, 21.0301, 21.0186, 21.0498, 21.0608, 21.0482, 20.9819, 21.0614, 21.0227, 21.0893, 21.1592, 21.0423, 21.0651, 21.0054, 21.0148, 21.0963, 21.3047, 21.346, 21.1703, 21.1038, 21.0888, 21.1085, 21.0693, 21.1814, 21.1451, 21.1467, 21.1907, 21.0899, 21.0258, 21.0296, 21.1038, 21.0574, 21.0214, 21.0444, 21.0321, 21.1067, 21.1617, 21.0372, 21.1099, 21.17, 21.0553, 21.0501, 21.1388, 21.1528, 21.0781, 21.1561, 21.049, 21.0348, 21.089, 21.167, 21.0281, 21.1003, 21.343, 21.1398, 21.1058, 21.1009, 21.067, 21.0464, 21.0547, 21.0444, 21.1815, 21.0628, 21.1987, 21.4395, 21.3494, 21.1327, 21.1125, 21.0686, 21.0867, 21.0686
		16	33.0851, 32.8553, 32.8688, 32.9192, 32.8109, 32.1023, 32.0379, 31.9119, 31.9383, 32.0481, 32.13, 31.994, 32.1458, 31.9221, 32.0591, 31.9384, 32.0756, 31.9244, 31.9776, 31.9353, 32.0813, 31.9333, 32.0968, 31.9996, 32.0387, 31.9747, 31.9945, 31.9803, 31.9435, 31.9511, 31.9602, 32.0403, 31.9458, 31.9954, 31.9265, 31.9537, 32.0015, 31.964, 32.007, 32.0813, 32.0006, 31.9958, 31.99, 32.012, 32.0802, 32.142, 31.9779, 32.1518, 32.0304, 31.987, 31.9631, 32.0125, 31.931, 32.026, 32.0062, 32.0984, 32.0629, 32.001, 32.0338, 32.0862, 32.1378, 31.9628, 31.9433, 31.9744, 32.0308, 31.9768, 31.9967, 32.2126, 31.9903, 31.8913, 32.0228, 32.093, 32.1133, 32.3677, 32.3844, 31.9881, 31.9706, 32.0538, 32.1084, 31.9985, 32.007, 32.0151, 32.0206, 32.0158, 32.1334, 31.9664, 32.1273, 31.9329, 31.9307, 31.9808, 31.9113, 31.9459, 31.9197, 31.9874, 31.9353, 31.9823, 31.9468, 31.9459, 32.2829, 32.0965
		24	21.0111, 20.9787, 20.9274, 20.972, 20.9617, 20.9376, 21.046, 20.9647, 21.4036, 20.9519, 20.9315, 20.9438, 20.935, 21.3144, 20.9306, 20.9731, 20.9815, 21.0686, 21.2263, 21.0267, 20.9245, 21.0032, 20.988, 20.9179, 21.0017, 21.0335, 21.0724, 21.3521, 20.9732, 21.0385, 20.9403, 20.9488, 20.9547, 20.9687, 20.9449, 20.9508, 20.9452, 20.9936, 21.0177, 20.9525, 20.9226, 21.0913, 21.0134, 20.9681, 20.9605, 20.9655, 21.0489, 21.2365, 21.7503, 21.2562, 21.1457, 20.9947, 20.9565, 21.0027, 21.1005, 20.9772, 21.0221, 20.9801, 20.9721, 21.0363, 21.2751, 20.9297, 21.0724, 20.9997, 21.061, 21.0484, 20.9997, 21.0647, 20.9734, 20.9102, 20.9683, 20.9816, 21.0353, 21.1815, 21.0183, 20.9504, 20.9366, 20.9132, 20.9786, 20.936, 20.9219, 20.9535, 20.935, 20.9295, 21.0071, 21.1009, 21.1131, 20.9632, 20.9575, 20.9373, 20.9778, 20.9376, 20.9244, 20.951, 20.968, 20.9275, 20.9662, 20.95, 20.9305, 20.9525

	sse2	4	4.6563, 4.6358, 4.68593, 4.63345, 4.62373, 4.63503, 4.6207, 4.68245, 4.61364, 4.6525, 4.63997, 4.67021, 4.65862, 4.62932, 4.64689, 4.67656, 4.62787, 4.61631, 4.63716, 4.68712, 4.61372, 4.61473, 4.63067, 4.65137, 4.66509, 4.63256, 4.63481, 4.61498, 4.67926, 4.63695, 4.61089, 4.6205, 4.67104, 4.60174, 4.65262, 4.6547, 4.67589, 4.67842, 4.63029, 4.60736, 4.62061, 4.67351, 4.62265, 4.61291, 4.60937, 4.68057, 4.61866, 4.63079, 4.61118, 4.64621, 4.77259, 4.64347, 4.63677, 4.6157, 4.66897, 4.62643, 4.62673, 4.61411, 4.70317, 4.63485, 4.62737, 4.63213, 4.67662, 4.60112, 4.67519, 4.65311, 4.625, 4.66316, 4.61254, 4.81103, 4.92373, 4.74207, 4.76805, 4.62965, 4.64999, 4.68604, 4.85378, 4.62005, 4.61583, 4.84593, 4.93728, 4.64361, 4.67778, 4.63565, 4.67539, 4.6587, 4.67345, 4.63561, 4.70204, 4.62587, 4.62145, 4.6169, 4.68141, 4.65009, 4.63606, 4.62686, 4.67617, 4.62387, 4.62569, 4.61802
		6	3.22294, 3.21173, 3.19525, 3.20906, 3.3333, 3.18404, 3.18058, 3.2071, 3.20552, 3.18529, 3.31686, 3.18068, 3.18836, 3.18877, 3.22886, 3.22659, 3.19108, 3.19138, 3.2252, 3.18337, 3.19832, 3.20699, 3.1825, 3.19043, 3.18786, 3.18953, 3.21219, 3.1805, 3.20174, 3.18953, 3.19762, 3.1977, 3.18818, 3.18955, 3.19284, 3.22131, 3.19426, 3.18033, 3.22781, 3.19828, 3.18883, 3.19885, 3.18279, 3.1952, 3.18529, 3.21023, 3.19538, 3.18083, 3.19317, 3.18164, 3.19518, 3.21927, 3.18465, 3.20987, 3.19475, 3.22298, 3.22265, 3.19876, 3.22064, 3.20664, 3.19761, 3.20278, 3.22627, 3.20555, 3.19863, 3.2013, 3.18964, 3.20651, 3.19225, 3.19668, 3.19955, 3.19032, 3.18485, 3.1903, 3.22921, 3.20436, 3.20707, 3.19024, 3.21373, 3.22136, 3.18185, 3.19248, 3.20921, 3.19067, 3.2096, 3.18379, 3.18695, 3.20613, 3.20354, 3.18847, 3.19822, 3.19086, 3.21121, 3.18723, 3.31239, 3.23926, 3.2158, 3.20141, 3.18835, 3.19441
		8	2.26579, 2.30082, 2.28327, 2.30446, 2.29353, 2.29453, 2.2845, 2.2968, 2.2862, 2.31035, 2.27294, 2.28299, 2.27728, 2.26668, 2.28617, 2.2684, 2.46187, 2.27733, 2.28451, 2.26936, 2.28818, 2.27578, 2.29871, 2.31364, 2.26755, 2.30066, 2.27281, 2.28545, 2.27325, 2.29829, 2.2753, 2.27875, 2.28856, 2.28935, 2.27696, 2.3184, 2.28407, 2.2936, 2.27132, 2.27641, 2.30077, 2.30982, 2.29912, 2.33079, 2.27642, 2.26122, 2.28133, 2.27448, 2.27477, 2.27518, 2.27637, 2.30271, 2.25871, 2.27738, 2.2696, 2.26998, 2.27164, 2.31375, 2.27107, 2.26751, 2.28176, 2.27055, 2.26675, 2.26401, 2.2817, 2.29736, 2.28607, 2.27999, 2.28669, 2.26449, 2.27421, 2.27352, 2.27014, 2.27199, 2.27889, 2.2896, 2.27878, 2.28057, 2.27455, 2.30536, 2.26469, 2.28684, 2.27914, 2.28119, 2.27636, 2.29325, 2.27804, 2.26211, 2.2807, 2.27157, 2.27074, 2.26814, 2.27251, 2.29374, 2.26603, 2.27208, 2.27975, 2.26985, 2.27203, 2.2825
